epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4512.57,1.11873,1.62345,0.70295,1.08648,0.77652,0.72449,0.77192,0.49945,0.77777,0.72449,0.77266,0.43194,1.23985,1.82022,0.8922,1.22374,0.0014258,0.0014258,0.0014258
31,4662.64,1.11772,1.66703,0.70619,1.09305,0.76608,0.72806,0.78472,0.50749,0.76359,0.71934,0.77542,0.42284,1.25946,1.81372,0.85371,1.22311,0.001406,0.001406,0.001406
32,4812.83,1.11267,1.62988,0.69522,1.08617,0.77537,0.71118,0.76224,0.49345,0.77234,0.7084,0.75363,0.41383,1.25639,1.93536,0.88442,1.22543,0.0013862,0.0013862,0.0013862
33,4962.85,1.09795,1.60544,0.69847,1.08716,0.7972,0.71179,0.76603,0.49932,0.80112,0.6979,0.75615,0.41474,1.22565,1.86618,0.84466,1.2126,0.0013664,0.0013664,0.0013664
34,5112.95,1.09407,1.6195,0.68138,1.07769,0.7927,0.72648,0.78435,0.51429,0.79669,0.71868,0.77911,0.43989,1.22173,1.79515,0.82174,1.1973,0.0013466,0.0013466,0.0013466
35,5263.78,1.10591,1.59258,0.6841,1.07499,0.78871,0.73839,0.78313,0.51292,0.79438,0.72529,0.77523,0.44401,1.22851,1.78408,0.83991,1.21597,0.0013268,0.0013268,0.0013268
36,5414.51,1.08538,1.57632,0.67186,1.06998,0.79486,0.72608,0.78007,0.51278,0.79366,0.71695,0.7723,0.43783,1.23102,1.79519,0.82187,1.20665,0.001307,0.001307,0.001307
37,5564.41,1.08522,1.57473,0.6608,1.07618,0.78756,0.73436,0.78737,0.51328,0.77383,0.73889,0.78012,0.43018,1.23842,1.79592,0.82362,1.21681,0.0012872,0.0012872,0.0012872
38,5714.36,1.09105,1.58644,0.66551,1.07966,0.81543,0.70981,0.77979,0.5067,0.81713,0.70266,0.77041,0.4265,1.23808,1.82801,0.8325,1.21763,0.0012674,0.0012674,0.0012674
39,5864.37,1.05911,1.54597,0.64828,1.05527,0.81189,0.71618,0.78238,0.50974,0.80435,0.70504,0.76918,0.41773,1.2458,1.85982,0.84548,1.22114,0.0012476,0.0012476,0.0012476
40,6014.34,1.05015,1.54565,0.62945,1.05631,0.77844,0.71219,0.77415,0.50356,0.77777,0.70504,0.7671,0.42335,1.24608,1.82793,0.87591,1.21482,0.0012278,0.0012278,0.0012278
41,6164.24,1.06951,1.51456,0.62376,1.05717,0.81712,0.7106,0.77774,0.51525,0.81879,0.71139,0.77615,0.44356,1.21726,1.80833,0.81927,1.2109,0.001208,0.001208,0.001208
42,6315.01,1.05563,1.52451,0.62831,1.05944,0.79594,0.73005,0.7785,0.50768,0.81173,0.70941,0.77344,0.42707,1.25426,1.80434,0.81586,1.23602,0.0011882,0.0011882,0.0011882
43,6465.2,1.05209,1.54846,0.62078,1.0576,0.80949,0.72092,0.77857,0.51369,0.81649,0.71338,0.77138,0.43243,1.21779,1.86532,0.80174,1.20682,0.0011684,0.0011684,0.0011684
44,6615.08,1.03996,1.51145,0.62112,1.05386,0.80416,0.73521,0.78819,0.52146,0.80122,0.72646,0.7802,0.44725,1.20558,1.79323,0.81215,1.19408,0.0011486,0.0011486,0.0011486
45,6765.64,1.05286,1.51955,0.62313,1.05606,0.79393,0.73565,0.78221,0.5124,0.79007,0.73208,0.77432,0.43695,1.2252,1.77224,0.8151,1.20312,0.0011288,0.0011288,0.0011288
46,6915.65,1.03509,1.48141,0.60509,1.04681,0.79432,0.72056,0.77541,0.50573,0.79456,0.70187,0.76275,0.42644,1.22765,1.84178,0.85493,1.20637,0.001109,0.001109,0.001109
47,7065.78,1.04755,1.48706,0.60875,1.0491,0.80006,0.72437,0.78014,0.51085,0.80993,0.71218,0.77081,0.42356,1.23033,1.84807,0.82757,1.21815,0.0010892,0.0010892,0.0010892
48,7215.85,1.03479,1.46174,0.58632,1.04169,0.80352,0.73545,0.79041,0.52556,0.80393,0.72529,0.77992,0.44751,1.22105,1.77157,0.80854,1.20364,0.0010694,0.0010694,0.0010694
49,7366.57,1.01167,1.44997,0.58101,1.0383,0.7877,0.72092,0.76927,0.51233,0.78671,0.71308,0.76436,0.4303,1.23036,1.86458,0.81143,1.23526,0.0010496,0.0010496,0.0010496
50,7516.57,1.02687,1.46124,0.58442,1.03958,0.80941,0.73508,0.78097,0.51272,0.80951,0.73388,0.77606,0.4242,1.25363,1.86331,0.80254,1.23439,0.0010298,0.0010298,0.0010298
51,7666.73,1.01736,1.44907,0.57217,1.03545,0.7744,0.74712,0.78282,0.51596,0.78678,0.72219,0.77033,0.43272,1.2246,1.83183,0.81312,1.22141,0.00101,0.00101,0.00101
52,7816.84,1.0087,1.45432,0.57254,1.03491,0.78376,0.74196,0.78667,0.52378,0.78467,0.73561,0.77989,0.44336,1.22443,1.77875,0.81486,1.21037,0.0009902,0.0009902,0.0009902
53,7966.7,1.00683,1.44932,0.57938,1.02514,0.79881,0.74397,0.78482,0.51556,0.80575,0.73879,0.78425,0.43887,1.22164,1.82757,0.81274,1.22007,0.0009704,0.0009704,0.0009704
54,8116.6,0.99538,1.41478,0.56807,1.03153,0.79049,0.73995,0.79097,0.51742,0.81514,0.70196,0.77728,0.42808,1.23863,1.80731,0.81125,1.2175,0.0009506,0.0009506,0.0009506
55,8266.7,0.99964,1.44452,0.57634,1.02516,0.81065,0.71735,0.78844,0.52113,0.80602,0.71258,0.77513,0.43403,1.23093,1.93413,0.79948,1.22844,0.0009308,0.0009308,0.0009308
56,8417.36,0.98087,1.40995,0.54871,1.01991,0.78371,0.75824,0.7843,0.52594,0.79109,0.74276,0.78015,0.44977,1.21461,1.79738,0.7962,1.21517,0.000911,0.000911,0.000911
57,8568.89,0.98507,1.41135,0.54697,1.01687,0.81691,0.71219,0.78521,0.52241,0.82141,0.70028,0.77792,0.44481,1.21865,1.80784,0.79632,1.21189,0.0008912,0.0008912,0.0008912
58,8719.52,0.98246,1.39701,0.54209,1.01665,0.81437,0.72291,0.78134,0.51038,0.81771,0.70519,0.77022,0.42599,1.25742,1.86565,0.80301,1.23222,0.0008714,0.0008714,0.0008714
59,8870.07,0.96901,1.40467,0.54227,1.01628,0.81033,0.71775,0.77788,0.51369,0.80273,0.71457,0.76714,0.42219,1.24671,1.9224,0.8083,1.2466,0.0008516,0.0008516,0.0008516
60,9020.51,0.96458,1.38591,0.52626,1.01004,0.78333,0.74629,0.78361,0.5169,0.79142,0.73356,0.77322,0.44152,1.2364,1.87098,0.79266,1.22549,0.0008318,0.0008318,0.0008318
61,9171.15,0.96527,1.39494,0.53485,1.01104,0.83316,0.72361,0.79333,0.53154,0.82944,0.72204,0.78868,0.45909,1.21059,1.77257,0.7622,1.21453,0.000812,0.000812,0.000812
62,9322.44,0.95288,1.36529,0.52278,1.00516,0.80988,0.73164,0.78452,0.52649,0.81746,0.7237,0.78182,0.45205,1.22267,1.79443,0.80536,1.21876,0.0007922,0.0007922,0.0007922
63,9472.95,0.95145,1.35369,0.51678,1.00466,0.81415,0.73042,0.7878,0.52301,0.81404,0.72211,0.78131,0.44591,1.23055,1.84787,0.78497,1.22879,0.0007724,0.0007724,0.0007724
64,9623.78,0.95007,1.37242,0.52221,1.00361,0.81193,0.74117,0.79776,0.53519,0.82109,0.73601,0.79727,0.45489,1.21185,1.81811,0.77436,1.21723,0.0007526,0.0007526,0.0007526
65,9775.13,0.93333,1.34014,0.50732,1.00054,0.809,0.74236,0.78725,0.52514,0.80869,0.73334,0.77668,0.4423,1.22292,1.879,0.77598,1.22559,0.0007328,0.0007328,0.0007328
66,9925.84,0.92463,1.3408,0.5009,0.99409,0.81796,0.72608,0.79441,0.5297,0.81935,0.72291,0.79208,0.45219,1.22593,1.82073,0.76588,1.23081,0.000713,0.000713,0.000713
67,10076.4,0.93673,1.32137,0.50151,0.99938,0.7967,0.74674,0.78832,0.52046,0.80312,0.73362,0.7866,0.4394,1.23944,1.91135,0.78486,1.23137,0.0006932,0.0006932,0.0006932
68,10227,0.92323,1.30905,0.49787,0.99668,0.79885,0.75202,0.79104,0.53218,0.79447,0.74732,0.78547,0.45176,1.21321,1.85898,0.77217,1.21849,0.0006734,0.0006734,0.0006734
69,10377.7,0.92146,1.29146,0.49464,0.99114,0.80489,0.74187,0.78958,0.5339,0.80629,0.73085,0.7862,0.45317,1.21569,1.84765,0.78915,1.2292,0.0006536,0.0006536,0.0006536
70,10528.2,0.9028,1.28782,0.48144,0.98422,0.79915,0.73402,0.78384,0.52637,0.79526,0.73045,0.77981,0.44138,1.23619,1.85471,0.79522,1.23504,0.0006338,0.0006338,0.0006338
71,10678.9,0.91649,1.33855,0.50063,0.9945,0.81415,0.72519,0.78936,0.52423,0.82532,0.70981,0.78061,0.44584,1.24561,1.88475,0.77926,1.24875,0.000614,0.000614,0.000614
